arm,ticker,accession,formation,span,flagged,quote,condition,localised,keyword_flagged
planted_condition,BTU,0001193125-20-326738,2021-02-28,"In the event that AGEN2034 is not approved by the FDA by the end of 2021 and all Tokens are converted into Agenus stock, a total of 1.85 Million shares would be issued",False,,,False,True
planted_condition,EBS,0001367644-22-000135,2022-10-31,"Nonetheless, we incurred significant negative operating cash flow in 2020, we continue to do so, and we expect to continue to do so until there is a significant recovery in demand for air travel.",False,,,False,True
planted_condition,RCL,0001104659-21-026708,2021-02-28,to support the transition of Avance Nerve Graft from a 361 HCT/P tissue product to a biologic product,False,,,False,True
planted_condition,ARR,0001428205-20-000314,2021-01-31,"Any such claim by Mr. Soto, if allowed, would be treated under the terms of a confirmed and effective Chapter 11 plan of reorganization.",False,,,False,False
planted_condition,AGEN,0001193125-18-297322,2018-12-31,as we ride the powerful momentum of a resurgent domestic box office for the remainder of 2025 and into what we believe will be an even more robust 2026,False,,,False,False
planted_condition,NEO,0001077183-22-000176,2022-12-31,As I write this we are unsure about delivery dates given Boeing s problems. Long term the MAX should be extremely accretive.,False,,,False,True
planted_condition,SPG,0001104659-20-042357,2020-05-31,"In particular, the consequences of the COVID-19 outbreak to economic conditions and the travel industry in general and the financial position and operating results of the Company in particular have been material, are changing rapidly, and cannot be predicted.",False,,,False,True
planted_condition,XEL,0000072903-21-000079,2021-10-31,"Subject to NCLC consummating a debt or equity financing resulting in at least $1.0 billion of aggregate gross proceeds prior to June 30, 2020, the incremental liquidity will increase by approximately $75 million in connection with the amendment to the Norwegian Jewel facility, and the maturity of the Norwegian Epic facility will be further extended to March 2022.",False,,,False,True
planted_condition,SPG,0001104659-20-135064,2021-01-31,ALX Oncology also has access up to an additional $50 million with $12.5 million available in each of two tranches based upon the achievement of milestones related to the development of evorpacept and one pre-clinical product candidate,False,,,False,True
planted_condition,AGIO,0001193125-22-120194,2022-06-30,"DENALI Part 2, if successful, has the potential to support an accelerated approval, subject to FDA review.",False,,,False,True
planted_condition,FIS,0001136893-21-000203,2021-10-31,Widespread vaccinations among our customers and our employees will be essential to Delta's sustained recovery and the start of our rebound.,False,,,False,True
planted_condition,CLVT,0001764046-22-000166,2022-12-31,"While market conditions in the Permian completions market are expected to remain challenging, Atlas is well positioned to enhance our market position and generate meaningful Adjusted Free Cash Flow in 2026.",False,,,False,True
planted_condition,OGS,0001587732-21-000059,2021-07-31,whether the Utility will satisfy the eligibility conditions to participate in the Wildfire Fund,False,,,False,False
planted_condition,LRMR,0000950170-25-063125,2025-07-31,its ability to receive regulatory approval for its product candidates and the possibility that the FDA does not conclude that its product candidates satisfy the regulatory requirements for approval,False,,,False,False
planted_condition,AR,0001104659-19-004086,2019-03-31,"In particular, the consequences of the COVID-19 outbreak to economic conditions and the travel industry in general and the financial position and operating results of the Company in particular have been material, are changing rapidly, and cannot be predicted.",False,,,False,False
planted_condition,OKE,0001039684-20-000082,2021-02-28,"With the ATM Program completed, we are now one step closer to finalizing our PMT and receiving our first funding disbursements from the CHIPS office and our other lenders.",False,,,False,True
planted_condition,LUMN,0001193125-22-304791,2022-12-31,"The transactions are accretive to net interest income, adding more than $2 million annually in the current higher for longer rate environment",False,,,False,True
planted_condition,BCRX,0001171843-19-004220,2019-08-31,A hearing and a CPUC decision on the settlement is expected in the first quarter of 2022.,False,,,False,True
planted_condition,CLX,0001206774-21-001046,2021-06-30,add an Event of Default for the failure to complete one or more Takeout Transactions for 95% of the Eligible Solar Loans within sixty (60) days of the Amendment No. 7 Effective Date,False,,,False,False
planted_condition,PYPL,0001193125-22-156247,2022-06-30,to support the transition of Avance Nerve Graft from a 361 HCT/P tissue product to a biologic product,False,,,False,True
planted_condition,CCO,0001193125-20-091896,2020-05-31,"AMC s ability to obtain additional liquidity, which if not realized or insufficient to generate the material amounts of additional liquidity that will be required unless it is able to achieve more normalized levels of operating revenues, likely would result with AMC seeking an in-court or out-of-court restructuring of its liabilities",False,,,False,True
planted_condition,IBRX,0001193125-25-164789,2025-07-31,"we are engaged in discussions with pharmaceutical companies that could lead to significant cash infusions, strengthening our financial position",True,"we are engaged in discussions with pharmaceutical companies that could lead to significant cash infusions, strengthening our financial position",discussions with pharmaceutical companies that could lead to significant cash infusions,True,True
planted_condition,SAGE,0001193125-25-012790,2025-01-31,the ability of II-VI and Finisar Corporation ( Finisar ) to complete the proposed transaction on the anticipated terms and timing or at all,False,,,False,False
