arm,ticker,accession,formation,span,flagged,quote,condition,localised,keyword_flagged,host_sector
planted_condition,BTU,0001193125-20-326738,2021-02-28,unless the Company s liquidity equals or exceeds the principal amount of each of the respective senior notes series that remain outstanding on each of the respective springing maturity dates,True,unless the Company s liquidity equals or exceeds the principal amount of each of the respective senior notes series that remain outstanding on each of the respective springing maturity dates,liquidity equals or exceeds the principal amount of each of the respective senior notes series that remain outstanding on each of the respective springing maturity dates,True,True,Energy
planted_condition,EBS,0001367644-22-000135,2022-10-31,"we rely on the TALEN gene-editing technology licensed from Cellectis to engineer certain of our allogeneic CAR T cell product candidates, including cema-cel and ALLO-316",False,,,False,True,Health Care
planted_condition,RCL,0001104659-21-026708,2021-02-28,"Completion of the acquisition at that time is subject to the satisfaction of certain conditions, including the absence of any governmental order or law prohibiting such acquisition and the expiration or termination of any applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended.",False,,,False,True,Consumer Discretionary
planted_condition,ARR,0001428205-20-000314,2021-01-31,uncertainty relating to adverse litigation outcomes and the timing of resolution of litigation matters,False,,,False,False,Financials
planted_condition,AGEN,0001193125-18-297322,2018-12-31,the Company issued a press release announcing the receipt of a complete response letter from the FDA regarding the Company s supplemental new drug application for pimavanserin for the treatment of hallucinations and delusions associated with dementia-related psychosis,False,,,False,True,Health Care
planted_condition,NEO,0001077183-22-000176,2022-12-31,"If the FDA does not accept the data from the Company s prior TRANQUILITY II Phase 3 trial, the Company may be required to conduct additional clinical trials which would increase its costs and delay potential submission of an sNDA for BXCL501 which in turn would adversely affect its financial position and operations.",False,,,False,True,Health Care
planted_condition,SPG,0001104659-20-042357,2020-05-31,modify certain provisions of the Existing Credit Agreement in light of the continuing financial and operational impacts of the COVID-19 pandemic on the Company and its tenants and borrowers,False,,,False,True,Real Estate
planted_condition,XEL,0000072903-21-000079,2021-10-31,"Any such claim by Mr. Soto, if allowed, would be treated under the terms of a confirmed and effective Chapter 11 plan of reorganization.",False,,,False,False,Utilities
planted_condition,SPG,0001104659-20-135064,2021-01-31,"These reductions will be effective until such time as AINC s Chief Executive Officer, Mr. Monty J. Bennett, determines in his discretion that the effects of the COVID-19 novel coronavirus have subsided and it has been determined that the Company is in a healthy financial position.",False,,,False,True,Real Estate
planted_condition,AGIO,0001193125-22-120194,2022-06-30,"Payment of the Dividend is conditioned upon the Board not having revoked the dividend prior to the Payment Date, including for a material change to the solvency or surplus analysis presented to the Board.",False,,,False,False,Health Care
planted_condition,FIS,0001136893-21-000203,2021-10-31,Reversals of $920 thousand to the allowance for credit losses on loans and $612 thousand to the allowance for credit losses on unfunded loan commitments in the second quarter of 2021 were driven primarily by an improvement in economic forecasts.,False,,,False,True,Financials
planted_condition,CLVT,0001764046-22-000166,2022-12-31,"American Airlines, Inc. ( American ) announced additional adjustments to its schedule in response to decreased consumer demand for air travel due to continued uncertainty surrounding the outbreak of the COVID-19 virus.",False,,,False,True,Industrials
planted_condition,OGS,0001587732-21-000059,2021-07-31,"The Agreement provides that, contingent on approval by the California Public Utilities Commission (the CPUC ), the Utility will sell to Buyer the property on current office space generally located at 25 Beale Street, 77 Beale Street, 215 Market Street, 245 Market Street and 50 Main Street, San Francisco, California 94105, and associated properties owned by the Utility (the Property ).",False,,,False,True,Utilities
planted_condition,LRMR,0000950170-25-063125,2025-07-31,"Although we expect to commence a Phase 3 trial in the second half of 2021, such commencement is subject to reaching alignment with the FDA on these matters.",True,The acceptability of FXN concentrations as an RLSE to support approval will be a matter of review in a future marketing application,FDA acceptance of skin FXN concentration as a reasonably likely surrogate endpoint,False,True,Health Care
planted_condition,AR,0001104659-19-004086,2019-03-31,"In light of the uncertainties related to COVID-19 and the significant negative impact that a weakened commodity price environment have had on the outlook for the industry rig count, H P has preliminarily reassessed certain portions of its cost structure",False,,,False,True,Energy
planted_condition,OKE,0001039684-20-000082,2021-02-28,"actions it has taken in response to the weakened commodity price environment, broader uncertainties related to COVID-19 and the resulting high market volatility",False,,,False,True,Energy
planted_condition,LUMN,0001193125-22-304791,2022-12-31,"While by several measures this is one of the more prolonged downturns in hiring activity, we are confident in the long term health of the U.S. labor market and see the end of the Great Stay as a future tailwind.",False,,,False,False,Communication
planted_condition,BCRX,0001171843-19-004220,2019-08-31,"the Company may, at its option, extend the maturity date to the sixth anniversary of the Effective Date if, prior to December 31, 2024, the Company receives approval from the FDA of an NDA in respect of the use of BXCL501 for the acute treatment of agitation associated with Alzheimer s Disease",False,,,False,True,Health Care
planted_condition,CLX,0001206774-21-001046,2021-06-30,"We believe that temporarily increasing our maximum consolidated leverage ratio is a prudent measure given the current difficult consumer environment in the packaged foods industry, our working capital needs and tariff uncertainty.",False,,,False,False,Consumer Staples
planted_condition,PYPL,0001193125-22-156247,2022-06-30,"The transactions are accretive to net interest income, adding more than $2 million annually in the current higher for longer rate environment",False,,,False,True,Financials
planted_condition,CCO,0001193125-20-091896,2020-05-31,"In 2026, the combined company plans to site and begin construction on the world s first utility-scale fusion power plant (50 MWe), subject to required approvals.",False,,,False,True,Communication
planted_condition,IBRX,0001193125-25-164789,2025-07-31,"As a condition to the effectiveness of the Third Amendment, among other things, the Company shall have received at least $40.0 million in gross proceeds from a registered public sale of the Company s common stock, warrants and/or pre-funded warrants.",True,"As a condition to the effectiveness of the Third Amendment, among other things, the Company shall have received at least $40.0 million in gross proceeds from a registered public sale of the Company s common stock, warrants and/or pre-funded warrants.","FDA approval of regulatory endpoints, trial design, and registrational pathways",True,True,Health Care
planted_condition,SAGE,0001193125-25-012790,2025-01-31,The FDA's decision regarding the NDA is now expected in the fourth quarter of 2025.,False,,,False,False,Health Care
planted_condition,AMRX,0001723128-23-000006,2023-04-30,"In parallel, we are engaged in discussions with pharmaceutical companies that could lead to significant cash infusions, strengthening our financial position.",True,"In parallel, we are engaged in discussions with pharmaceutical companies that could lead to significant cash infusions, strengthening our financial position.",significant cash infusions from discussions with pharmaceutical companies,True,True,Health Care
planted_condition,MRCY,0001049521-21-000025,2021-06-30,"The Credit Agreement has a maturity date of (i) January 18, 2027, or (ii) if the Company s 8.125% and 6.50% senior notes due 2026 are not refinanced by August 30, 2025 or the maturity date has not otherwise been extended to a date at least 6 months beyond the Credit Facility maturity, August 30, 2025.",False,,,False,False,Industrials
planted_condition,APPS,0001628280-24-038529,2024-09-30,the ability of II-VI and Finisar Corporation ( Finisar ) to complete the proposed transaction on the anticipated terms and timing or at all,False,,,False,False,Information Technology
planted_condition,IOVA,0001104659-21-080846,2021-07-31,"If approved, we look forward to making AXS-05 available to Americans suffering from depression as soon as possible.",False,,,False,False,Health Care
planted_condition,ASPS,0001462418-20-000008,2020-05-31,"The extent to which COVID-19 impacts us, our tenants and guests will depend on future developments, which are highly uncertain and cannot be predicted with confidence, including the scope, severity and duration of the pandemic, the actions taken to contain the pandemic or mitigate its impact, and the direct and indirect economic effects of the pandemic and containment measures, among others.",False,,,False,True,Real Estate
planted_condition,WEC,0000107815-21-000087,2021-03-31,"the impact of the 2017 and 2018 Northern California wildfires, including whether the Utility will be able to timely recover costs incurred in connection therewith in excess of the Utility's currently authorized revenue requirements",False,,,False,False,Utilities
planted_condition,NFE,0001749723-24-000125,2025-01-31,"While metallurgical coal prices have recently appreciated, steelmaking fundamentals, particularly in traditional markets, are in the early stages of recovery from the COVID-19 pandemic. As a result, customer demand this year has been and continues to be severely impacted.",False,,,False,True,Energy
planted_condition,ADNT,0001670541-19-000014,2019-04-30,"The current, and uncertain future, impact of the COVID-19 outbreak, including its effect on the ability or desire of people to travel (including on cruises), is expected to continue to impact our results, operations, outlooks, plans, goals, reputation, litigation, cash flows, liquidity, and stock price",False,,,False,True,Consumer Discretionary
planted_condition,ADMA,0001193805-21-000065,2021-01-31,"An investigation is underway to further characterize the observed abnormality, including any clinical relevance, evidence of clonal expansion or potential relationship to gene editing. The Company expects to provide additional updates in the coming weeks following consultation with the FDA.",False,,,False,True,Health Care
planted_condition,BMRC,0001403475-19-000029,2019-08-31,The Company can regain compliance at any time within the six-month period following receipt of the NYSE notice if on the last trading day of any calendar month during the cure period the Company has a closing share price of at least $1.00 and an average closing share price of at least $1.00 over the 30 trading-day period ending on the last trading day of that month.,False,,,False,False,Financials
planted_condition,ABEO,0001104659-19-074462,2020-02-29,"Their appointments to the NewCo board of directors will be effective upon completion of the spinoff, which is expected to occur in the first half of calendar year 2022 and is subject to the satisfaction of customary conditions, including final approval from the BD board of directors and the effectiveness of a Form 10 registration statement that will be filed with the SEC.",False,,,False,True,Health Care
planted_condition,AGL,0001628280-24-007195,2024-04-30,the Company issued a press release announcing the receipt of a complete response letter from the FDA regarding the Company s supplemental new drug application for pimavanserin for the treatment of hallucinations and delusions associated with dementia-related psychosis,False,,,False,True,Health Care
